business_name,street_address,city,state,zip,phone,website,google_rating,review_count,hours_monday,hours_tuesday,hours_wednesday,hours_thursday,hours_friday,hours_saturday,hours_sunday,latitude,longitude
Super Speed Runners Club,,,,,1 928-261-5459,,5,1,"[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""Closed""]","[""Closed""]",34.168035,-111.9307474
Tortoise & Hare Sports,17570 N 75th Ave #605,Glendale,AZ,85308,1 623-792-7900,,4.8,616,"[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-6PM""]","[""11AM-5PM""]",33.644296,-112.221928
Girls on the Run serving Maricopa & Pinal Counties,7721 E Gray Rd Ste 103,Scottsdale,AZ,85260,1 602-795-6572,,5,4,,,,,,,,33.6120421,-111.9139162
Cadence Running - Gilbert,3107 S Gilbert Rd #103,Gilbert,AZ,85295,1 480-786-8835,,4.7,391,"[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-5PM""]","[""11AM-4PM""]",33.293131,-111.7890269
Cadence Running Company,37724 N Gantzel Rd Ste 102,Queen Creek,AZ,85140,1 480-687-3082,,4.8,47,"[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-5PM""]","[""11AM-4PM""]",33.2215591,-111.5650497
Team Elite Track Club,604 Colynwood Dr,Sherwood,AR,72120,1 501-612-5522,,,,,,,,,,,34.842616,-92.2266696
Rock City Running,"Market Place Shopping Center, 11121 N Rodney Parham Rd Ste 37B",Little Rock,AR,72212,1 501-313-4689,,4.9,114,"[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""Closed""]",34.7701982,-92.3975174
Run Bentonville,215 SW A St,Bentonville,AR,72712,1 479-464-7275,,4.3,4,,,,,,,,36.3701121,-94.2099566
GOTR Central Arkansas,15 Sharon Ln,Conway,AR,72034,1 501-519-7739,,,,"[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""Closed""]","[""Closed""]","[""Closed""]",35.0334213,-92.4441722
Rush Running Co,1600 SE J St #2,Bentonville,AR,72712,1 479-464-7866,,4.8,305,"[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-5PM""]","[""12-4PM""]",36.3549637,-94.1974576
Western Arkansas Runners,,Fort Smith,AR,72916,,,,,,,,,,,,35.3109023,-94.3000155
Rise n Fly Track Club,32593 Riverside Dr,Lake Elsinore,CA,92530,1 951-445-6034,,3,2,,,,,,,,33.6701224,-117.3806008
Cal Coast,4060 Campus Dr #110,Newport Beach,CA,92660,1 714-852-3800,,5,1,,,,,,,,33.666742,-117.8713546
Falcon Track Club,"Administration (financial aid, admissions & records, counseling), 11110 Alondra Blvd",Norwalk,CA,90650,1 562-441-4239,,,,"[""Closed""]","[""6-8PM""]","[""Closed""]","[""6-8PM""]","[""Closed""]","[""Closed""]","[""Closed""]",33.8864907,-118.0973626
GrassRoots Athletics,25025 Chrisanta Dr,Mission Viejo,CA,92691,1 949-444-2370,,5,1,"[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]",33.5966545,-117.6718218
Antelope Valley Track Club,2315 E Palmdale Blvd # B48,Palmdale,CA,93550,1 661-209-6525,,,,,,,,,,,34.5804288,-118.0860227
Imani Compton Track Club,417 S Ward Ave,Compton,CA,90221,1 562-618-0435,,5,5,,,,,,,,33.892786,-118.205618
East Bay Heat Track Club,2180 Allston Way,Berkeley,CA,94704,1 510-368-0168,,4.5,2,"[""6-8PM""]","[""6-8PM""]","[""6-8PM""]","[""6-8PM""]","[""Closed""]","[""Closed""]","[""Closed""]",37.8694091,-122.2661763
Fresno Flyers Track Club,5637 N Figarden Dr Suite 112,Fresno,CA,93722,1 559-691-0377,,5,1,,,,,,,,36.8212415,-119.870363
No Limit Sports Track & Field Club,340 Bruin Walk,Los Angeles,CA,90095,1 310-490-0849,,,,"[""11AM-9PM""]","[""11AM-9PM""]","[""11AM-9PM""]","[""11AM-9PM""]","[""11AM-9PM""]","[""11AM-9PM""]","[""Closed""]",34.0726441,-118.4487694
306 TrackRideOut,1205 S Figueroa St,Los Angeles,CA,90015,,,5,4,"[""Closed""]","[""Closed""]","[""Closed""]","[""Closed""]","[""Closed""]","[""Closed""]","[""10:30AM-3PM""]",34.0413298,-118.2677016
Cal Club,18202 Cal Club Rd,Buttonwillow,CA,93206,1 661-304-9382,,4.5,10,,,,,,,,35.4917516,-119.5466154
LEAP Squad Youth Track Club,1202 W Edinger Ave,Santa Ana,CA,92707,1 657-400-5327,,,,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Closed""]",33.726264,-117.8840246
HawksTrackClub.org,616 W Rte 66,Glendora,CA,91740,1 818-321-7133,,,,"[""5-8PM""]","[""5-8PM""]","[""5-8PM""]","[""5-8PM""]","[""Closed""]","[""8AM-3PM""]","[""10AM-1PM""]",34.1285014,-117.8750259
Northridge Pacers Track Club,,,,,1 818-943-1958,,5,1,"[""8AM-8PM""]","[""8AM-8PM""]","[""8AM-8PM""]","[""8AM-8PM""]","[""8AM-8PM""]","[""8AM-8PM""]","[""8:03AM-8PM""]",34.2922009,-118.5074266
MP Striders Youth Track Club,3500 Florin Rd,Sacramento,CA,95823,1 916-475-7259,,,,,,,,,,,38.4946836,-121.4664355
Youth Track and Running Club,1158 26th St,Santa Monica,CA,90403,1 310-316-2806,,5,1,"[""Closed""]","[""3:30-4:30PM""]","[""Closed""]","[""3:30-4:30PM""]","[""3:30-4:30PM""]","[""Closed""]","[""Closed""]",34.0361516,-118.4778539
CPRunners,4777 Casa Loma Ave,Yorba Linda,CA,92886,,,5,1,"[""6:30-8PM""]","[""Closed""]","[""6:30-8PM""]","[""Closed""]","[""Closed""]","[""Closed""]","[""Closed""]",33.8917106,-117.8254195
Colts Running Club,22760 Olympiad Rd,Mission Viejo,CA,92692,1 949-534-2049,,,,,,,,,,,33.6318714,-117.6351187
Whitmore Track and Field,,Mammoth Lakes,CA,93546,,,5,12,,,,,,,,37.6273269,-118.8171997
Orange Crush Track Club,,,,,1 949-410-3343,,,,,,,,,,,33.640814,-117.7803964
Quicksilver Running Club,6927 Grandwood Way #2216,San Jose,CA,95120,,,5,3,,,,,,,,37.207828,-121.8296833
New Basin Blues Running Club,21200 Oxnard St #208,Woodland Hills,CA,91365,1 310-633-1058,,,,"[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]",34.1785716,-118.5942796
LA Leggers,2309 Santa Monica Blvd suite 531,Santa Monica,CA,90404,1 424-253-4437,,5,4,,,,,,,,34.0310722,-118.4774046
San Francisco FrontRunners,2261 Market St,San Francisco,CA,94114,,,5,1,,,,,,,,37.7647186,-122.4319401
LA Running Club,101 Ocean Ave,Santa Monica,CA,90401,1 310-795-2621,,,,,,,,,,,34.0266335,-118.5149461
Progression Run Club,2863 California St,San Francisco,CA,94109,1 628-297-1521,,5,24,"[""Closed""]","[""12-1:30PM""]","[""Closed""]","[""12-1:30PM""]","[""5-6PM""]","[""Closed""]","[""8:30-10:30AM""]",37.7878083,-122.4415559
Sacramento Running Association,4181 Power Inn Rd,Sacramento,CA,95826,,,3.4,10,"[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""Closed""]","[""Closed""]",38.5372279,-121.407841
Long Beach Run Club,3300 E Ocean Blvd,Long Beach,CA,90803,,,4.5,11,"[""Closed""]","[""7-8:30PM""]","[""Closed""]","[""Closed""]","[""Closed""]","[""Closed""]","[""Closed""]",33.7610074,-118.1544976
San Francisco Road Runners Club,1901 21st Ave,San Francisco,CA,94116,1 415-793-3353,,,,,,,,,,,37.7521366,-122.4787538
Black Flag Running Club,655 Columbia St Student Lockers,San Diego,CA,92101,1 619-405-1828,,5,3,,,,,,,,32.7123037,-117.1671729
Run Free Running Club LLC,1130 Rosewood Ave,Camarillo,CA,93010,1 805-407-3977,,5,3,"[""6AM-8PM""]","[""6AM-8PM""]","[""6AM-8PM""]","[""6AM-8PM""]","[""6AM-8PM""]","[""6AM-8PM""]","[""Closed""]",34.229206,-119.0612981
University City Running Club,5428 Barkla St,San Diego,CA,92122,1 858-449-6582,,,,"[""Closed""]","[""4-6PM""]","[""4-5PM""]","[""4-6PM""]","[""Closed""]","[""10AM-12PM""]","[""Closed""]",32.8428545,-117.2324056
Pasadena Pacer-Meeting Place,352 N Arroyo Blvd,Pasadena,CA,91103,,,5,1,,,,,,,,34.150863,-118.165248
LA Running Club,1338 4th St,Santa Monica,CA,90401,1 424-214-3535,,,,,,,,,,,34.0167429,-118.4959817
Club Ed Running,501 S Peck Ave,Manhattan Beach,CA,90266,,,5,1,"[""Closed""]","[""Closed""]","[""5:45-7PM""]","[""Closed""]","[""Closed""]","[""Closed""]","[""Closed""]",33.875785,-118.3880715
CPRunners,4777 Casa Loma Ave,Yorba Linda,CA,92886,,,5,1,"[""6:30-8PM""]","[""Closed""]","[""6:30-8PM""]","[""Closed""]","[""Closed""]","[""Closed""]","[""Closed""]",33.8917106,-117.8254195
Excelsior Running Club,311 Lexington Way,Burlingame,CA,94010,1 415-341-5344,,,,,,,,,,,37.585688,-122.3385131
Equalizers Running Club,825 Fee Ana St,Placentia,CA,92870,1 714-524-2218,,,,"[""7AM-3PM""]","[""7AM-3PM""]","[""7AM-3PM""]","[""7AM-3PM""]","[""7AM-3PM""]","[""Closed""]","[""Closed""]",33.8638272,-117.8237003
Whittier Pacers,5736 El Rancho Dr,Whittier,CA,90606,,,5,4,"[""6:30-8:30PM""]","[""Closed""]","[""6:30-8:30PM""]","[""Closed""]","[""Closed""]","[""6:45-10AM""]","[""Closed""]",33.9918565,-118.0577661
Colorado Track Club,,,,,1 970-509-0213,,,,,,,,,,,38.9979464,-105.550863
Revolution Running,245 Century Cir,Louisville,CO,80027,1 303-482-6202,,5,22,,,,,,,,39.9677038,-105.1651419
The Colorado Running Company,5262 N Nevada Ave #140,Colorado Springs,CO,80918,1 719-635-3833,,4.6,387,"[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-5PM""]",38.9061869,-104.817217
Landsharks Running Club,4570 Hilton Pkwy #106,Colorado Springs,CO,80907,1 719-623-5314,,2.8,16,,,,,,,,38.897608,-104.8345575
run.Windsor Race Series,9271 Weld County Rd 70,Windsor,CO,80550,1 970-213-7258,,4.9,61,"[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]",40.4951078,-104.8838875
RUN to Change Lives,1071 Round Top Ln,Castle Rock,CO,80108,1 303-907-5410,,5,2,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.4473315,-104.8665777
Runners Roost Lakewood,7978 W Alameda Ave A,Lakewood,CO,80226,1 303-991-1851,,4.8,439,"[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-6PM""]","[""11AM-5PM""]",39.709615,-105.0841241
Colorado Coyotes,7637 S Williams St,Centennial,CO,80122,1 303-725-7368,,4.9,87,,,,,,,,39.5785348,-104.9672116
50 States Half Marathon Club,2175 Academy Cir STE Ste 200,Colorado Springs,CO,80909,1 719-423-6284,,4.8,5,"[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""Closed""]","[""Closed""]",38.8639341,-104.7547818
Runners Roost Central Park,7305 E 35th Ave #150,Denver,CO,80238,1 303-377-3732,,4.6,106,"[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-6PM""]","[""11AM-5PM""]",39.7656861,-104.9020528
Runners Roost,1685 S Colorado Blvd J,Denver,CO,80222,1 303-759-8455,,4.7,296,"[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-6PM""]","[""11AM-5PM""]",39.6863869,-104.9426995
BP-RUN-CO,10033 W 26th Ave,Wheat Ridge,CO,80215,1 720-456-6904,,4.9,110,"[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""11AM-5PM""]",39.7550129,-105.111238
Peak Performance Running,426 Violet St,Golden,CO,80401,1 440-759-2224,,5,43,"[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""Closed""]",39.723038,-105.1964595
Runners Roost,2120 Ford St,Golden,CO,80401,1 720-583-2911,,4.8,192,"[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-6PM""]","[""11AM-5PM""]",39.7485116,-105.2121447
Fleet Feet Littleton,8116 W Bowles Ave,Littleton,CO,80123,1 303-932-6000,,4.8,387,"[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""11AM-5PM""]",39.6089955,-105.0889853
Phidippides Track Club,4869 S Dayton St,Greenwood Village,CO,80111,,,,,"[""Closed""]","[""5:50-6:45PM""]","[""Closed""]","[""Closed""]","[""Closed""]","[""Closed""]","[""Closed""]",39.6278587,-104.8758996
Elevated Distance Training,,,,,1 303-359-4042,,5,22,"[""7AM-8PM""]","[""7AM-8PM""]","[""7AM-8PM""]","[""7AM-8PM""]","[""7AM-8PM""]","[""7AM-8PM""]","[""7AM-8PM""]",39.6019742,-104.7566729
Good Boys Running Club,,,,,1 720-507-4163,,,,"[""8AM-8PM""]","[""8AM-8PM""]","[""8AM-8PM""]","[""8AM-8PM""]","[""8AM-8PM""]","[""8AM-8PM""]","[""8AM-8PM""]",39.7642444,-104.8547524
Runners Roost,629 S Broadway suite e,Boulder,CO,80305,1 303-554-7837,,4.8,175,"[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-6PM""]","[""11AM-5PM""]",39.9840117,-105.2489636
Runners Roost,459 McCaslin Blvd Unit 2,Louisville,CO,80027,1 303-926-7653,,4.8,117,"[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-6PM""]","[""11AM-5PM""]",39.9648577,-105.1641366
Run The Edge,7270 W 118th Pl,Broomfield,CO,80020,,,4,1,"[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""9AM-5PM""]","[""Closed""]","[""Closed""]",39.9099824,-105.0783241
Lightfoot Running Club,7 New St,Norwalk,CT,6855,1 203-434-6746,,2,1,,,,,,,,41.0975267,-73.4046857
New Haven Road Runners,,,,,,,,,"[""6:30-8:30AM""]","[""6:30-8:30AM"",""6:30-8:30PM""]","[""6:30-8:30PM""]","[""6:30-8:30AM""]","[""6:30-8:30AM""]","[""Open 24 hours""]","[""Open 24 hours""]",41.298416,-72.9291785
The Running Academy,31 Dairy Farm Dr,Brookfield,CT,6804,1 203-313-4955,,4,2,,,,,,,,41.433047,-73.380188
Manchester Running Company,,,,,,,5,1,"[""12AM-12PM""]","[""12AM-12PM""]","[""12AM-12PM""]","[""12AM-12PM""]","[""12AM-12PM""]","[""12AM-12PM""]","[""12AM-12PM""]",41.7770486,-72.523694
CT Run Co.- Ridgefield Running,423 Main St,Ridgefield,CT,6877,1 203-438-7778,,4.9,155,"[""12-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""9AM-5PM""]","[""11AM-4PM""]",41.2822975,-73.4988192
Woodbridge Running Co,7 Landin St,Woodbridge,CT,6525,1 203-387-8704,,4.9,131,"[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""12-4PM""]",41.3416244,-72.9822477
New Haven Road Runners,,,,,1 716-380-7977,,,,"[""6:30-8AM""]","[""6:30-8AM"",""6:30-8PM""]","[""6:30-8PM""]","[""6:30-8AM""]","[""6:30-8AM""]","[""6:30-8AM""]","[""6:30-8AM""]",41.3657095,-72.9275075
Above Xpectations Track Club,710 N Lincoln St,Wilmington,DE,19805,1 302-658-4171,,3.7,3,,,,,,,,39.7514759,-75.5696079
Delaware Running Co,4021 Kennett Pike,Wilmington,DE,19807,1 302-655-7463,,4.8,179,"[""10AM-5PM""]","[""10AM-5PM""]","[""10AM-7PM""]","[""10AM-7PM""]","[""10AM-5PM""]","[""10AM-5PM""]","[""12-4PM""]",39.7806089,-75.5990528
Middletown Athletic Club,118 Sleepy Hollow Dr #3,Middletown,DE,19709,1 302-740-7766,,,,"[""5-9PM""]","[""5-9PM""]","[""5-9PM""]","[""5-9PM""]","[""5-9PM""]","[""Closed""]","[""Closed""]",39.4528169,-75.7333303
Fort Myers Track Club,,Fort Myers,FL,33906,1 239-332-4786,,4.7,3,,,,,,,,26.5935368,-81.8583492
East Orlando Track Club,13801 Mailer Blvd,Orlando,FL,32828,1 407-574-7033,,4.5,10,,,,,,,,28.5006938,-81.1531499
Fast Lane Track Club West Palm Beach,175 Berenger Walk,West Palm Beach,FL,33414,1 561-628-5770,,4.7,10,,,,,,,,26.6715612,-80.2147748
Blue Streak Track Club,7605 Destin Dr,Tampa,FL,33619,1 813-895-6408,,4.5,8,"[""6:30-8PM""]","[""6:30-8PM""]","[""6:30-8PM""]","[""Closed""]","[""6:30-8PM""]","[""Closed""]","[""Closed""]",27.9391587,-82.3714456
ultimate track club,140 NW 198th St,Miami Gardens,FL,33169,1 786-679-2500,,,,"[""7:30AM-5:30PM""]","[""7:30AM-5:30PM""]","[""7:30AM-5:30PM""]","[""7:30AM-5:30PM""]","[""7:30AM-5:30PM""]","[""7:30AM-5:30PM""]","[""Closed""]",25.9561322,-80.2041388
swiffers Track Club LLC,3400 NW 50th Ave,Lauderdale Lakes,FL,33319,1 954-687-4198,,5,13,"[""9AM-9PM""]","[""9AM-9PM""]","[""9AM-9PM""]","[""9AM-9PM""]","[""9AM-9PM""]","[""9AM-9PM""]","[""Open 24 hours""]",26.1688644,-80.2156612
Velocity Elite Track Club,5M92+5W,Tampa,FL,33647,1 757-390-0227,,5,12,"[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""10AM-6PM""]","[""Closed""]","[""Closed""]",28.1679375,-82.3476875
Team Florida Track Club,,,,,,,5,58,"[""8AM-6:30PM""]","[""8AM-6:30PM""]","[""8AM-6:30PM""]","[""8AM-6:30PM""]","[""8AM-6:30PM""]","[""Closed""]","[""Closed""]",27.698638,-83.804601
Gulf Coast Runners,20 10th St S,Naples,FL,34102,,,4.6,7,,,,,,,,26.147232,-81.793942
Pinellas Run Club,Tropicana Dr.,St. Petersburg,FL,33705,,,5,3,,,,,,,,27.7665947,-82.644248
Run Tampa,,,,,,,5,52,"[""Closed""]","[""Closed""]","[""Closed""]","[""Closed""]","[""Closed""]","[""7-9AM""]","[""Closed""]",28.046795,-82.5407359
Freedom Running Club,,,,,1 813-748-3042,,5,88,"[""6AM-9PM""]","[""6AM-9PM""]","[""6AM-9PM""]","[""6AM-9PM""]","[""6AM-9PM""]","[""6AM-9PM""]","[""6AM-9PM""]",46.423669,-129.9427086
Milers Running Club and Camp,724 SE 10th St,Stuart,FL,34994,1 954-579-4991,,5,2,"[""5:30-6:30PM""]","[""Closed""]","[""5:30-6:30PM""]","[""Closed""]","[""Closed""]","[""Closed""]","[""Closed""]",27.1897821,-80.2415677
Team Florida Track Club,,,,,,,5,58,"[""8AM-6:30PM""]","[""8AM-6:30PM""]","[""8AM-6:30PM""]","[""8AM-6:30PM""]","[""8AM-6:30PM""]","[""Closed""]","[""Closed""]",27.698638,-83.804601
Peak Pulse Run Club,874 SE 4th St,Gainesville,FL,32601,,,5,4,"[""Closed""]","[""Closed""]","[""Closed""]","[""6-7:30PM""]","[""Closed""]","[""Closed""]","[""Closed""]",29.6437436,-82.3213077
RunAdic,1408 Brickell Bay Dr,Miami,FL,33131,1 305-788-9531,,4,4,"[""9:30AM-6:30PM""]","[""9:30AM-6:30PM""]","[""9:30AM-6:30PM""]","[""9:30AM-6:30PM""]","[""9:30AM-6:30PM""]","[""9:30AM-6:30PM""]","[""9:30AM-6:30PM""]",25.7589759,-80.1895052
Milestones Running Club,,,,,1 813-766-7667,,5,9,,,,,,,,27.992063,-82.4542805
The Florida Run,,,,,1 352-250-4219,,5,8,"[""8AM-4PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""8AM-5PM""]","[""Closed""]","[""Closed""]",27.698638,-83.804601
